line,name,Latitude,Longitude,sort_order 
6,응암,37.59874233,126.9155128,177
6,역촌,37.60603905,126.9229679,178
6,불광,37.61020726,126.9299858,179
6,독바위,37.61839888,126.9328101,180
6,연신내,37.618962,126.9211621,181
6,구산,37.61121222,126.9171824,182
6,새절,37.59182705,126.913912,183
6,증산,37.58419548,126.9100576,184
6,디지털미디어시티,37.57716144,126.9019286,185
6,월드컵경기장,37.56994257,126.8990333,186
6,마포구청,37.56342631,126.903357,187
6,망원,37.55605729,126.9100339,188
6,합정,37.54925919,126.9131909,189
6,상수,37.54777167,126.9224099,190
6,광흥창,37.54748607,126.9319392,191
6,대흥,37.54766835,126.9424653,192
6,공덕,37.54352692,126.9519476,193
6,효창공원앞,37.53937664,126.9612584,194
6,삼각지,37.53564505,126.9740805,195
6,녹사평,37.53483142,126.9870285,196
6,이태원,37.53448328,126.9937217,197
6,한강진,37.54029515,127.0017483,198
6,버티고개,37.54804184,127.007085,199
6,약수,37.55389144,127.0101205,200
6,청구,37.56029391,127.013806,201
6,신당,37.56627389,127.0161535,202
6,동묘앞,37.57220052,127.0156781,203
6,창신,37.58001689,127.0152112,204
6,보문,37.58532772,127.019387,205
6,안암,37.58628048,127.029213,206
6,고려대,37.59064969,127.0362849,207
6,월곡,37.60142105,127.0411848,208
6,상월곡,37.60626414,127.0483266,209
6,돌곶이,37.6105507,127.0564252,210
6,석계,37.61504808,127.0661184,211
6,태릉입구,37.61851378,127.0753684,212
6,화랑대,37.61989439,127.0837446,213
6,봉화산,37.61765376,127.0907581,214
6,신내,37.61009453,127.110258,215
7,장암,37.70011896,127.0531354,216
7,도봉산,37.68912056,127.0465288,217
7,수락산,37.67762594,127.0553746,218
7,마들,37.66508643,127.0576877,219
7,노원,37.65469472,127.0605174,220
7,중계,37.64489068,127.0642467,221
7,하계,37.63645212,127.0679885,222
7,공릉,37.62547692,127.0730052,223
7,태릉입구,37.61851378,127.0753684,224
7,먹골,37.61062506,127.0777648,225
7,중화,37.6015797,127.0794692,226
7,상봉,37.59670933,127.0857418,227
7,면목,37.5883849,127.0875678,228
7,사가정,37.58079455,127.0884391,229
7,용마산,37.57403021,127.0870381,230
7,중곡,37.56552588,127.0840724,231
7,군자,37.55736319,127.0790173,232
7,어린이대공원,37.5478712,127.0745499,233
7,건대입구,37.54084161,127.0710464,234
7,자양,37.53158626,127.0667177,235
7,청담,37.51945853,127.0537671,236
7,강남구청,37.51718924,127.0413014,237
7,학동,37.51420643,127.0314638,238
7,논현,37.51119883,127.0216579,239
7,반포,37.50812639,127.011497,240
7,고속터미널,37.50339557,127.00501,241
7,내방,37.48753353,126.9931903,242
7,이수,37.48501514,126.9810218,243
7,남성,37.48444339,126.9717061,244
7,숭실대입구,37.49581433,126.9540602,245
7,상도,37.50320805,126.9477004,246
7,장승배기,37.5046658,126.9387444,247
7,신대방삼거리,37.49972183,126.928223,248
7,보라매,37.49991005,126.9204894,249
7,신풍,37.5001172,126.9098417,250
7,대림,37.49274307,126.8966118,251
7,남구로,37.48616184,126.887341,252
7,가산디지털단지,37.48159574,126.8825595,253
7,철산,37.47609801,126.8680039,254
7,광명사거리,37.47933558,126.8547032,255
7,천왕,37.48682194,126.8387137,256
7,온수,37.49215028,126.8233807,257
8,암사,37.55014034,127.1275402,258
8,천호,37.53857898,127.1237424,259
8,강동구청,37.53067409,127.1205761,260
8,몽촌토성,37.51762363,127.1124299,261
8,잠실역,37.51497717,127.1042164,262
8,석촌,37.50594964,127.1063453,263
8,송파,37.49968667,127.1121799,264
8,가락시장,37.49274403,127.1184857,265
8,문정,37.48626182,127.1222903,266
8,장지,37.47811921,127.1264242,267
